Emocion,Termino_emocional,Lista_sinonimos,Negacion_Considerar,Respuesta,Notas_Culturales
miedo,temor,fobia,sí,"Parece que estás sintiendo miedo. ¿Quieres hablar más sobre ello, o te gustaría intentar alguna técnica para tranquilizarte?","Universal."
miedo,ansiedad,preocupación,sí,"Entiendo que te sientes ansioso. A veces, respirar profundo ayuda. ¿Quieres que lo intentemos o prefieres charlar?","Universal."
miedo,pánico,terror,sí,"Veo que el pánico te está afectando. ¿Te gustaría que te guiara en un ejercicio de respiración para calmarte?","Universal."
miedo,preocupación,inquietud,sí,"Entiendo que estás preocupado. Aquí estoy para escucharte, ¿quieres compartir lo que te inquieta?","Universal."
miedo,susto,espanto,sí,"¡Vaya, parece que te llevaste un susto! ¿Quieres contarme qué pasó?","Común en México para una sorpresa o miedo repentino."
miedo,con el Jesús en la boca,nervioso,no,"Andas con el Jesús en la boca, ¿verdad? Tranquilo/a, estoy aquí para escuchar lo que te asusta.","Modismo mexicano para estar muy nervioso o asustado."
miedo,paniqueado,asustado,no,"Me imagino que te sientes paniqueado. ¿Quieres que busquemos una forma de calmarte?","Coloquial en México para ""sentir pánico""."
miedo,escalofrío,miedo,no,"Parece que algo te dio escalofrío. ¿Qué te hizo sentir así?","Universal, pero ""dar escalofrío"" es común."
ira,enojo,rabia,sí,"Veo que estás molesto. ¿Quieres contar qué te ha enojado o prefieres desahogarte?","Universal."
ira,resentimiento,rencor,sí,"Parece que tienes resentimiento. Es válido sentirlo. ¿Quieres expresarlo o buscar una solución para aliviarlo?","Universal."
ira,furia,indignación,sí,"Eso suena a mucha furia. ¿Te gustaría hablar sobre lo que te enoja tanto?","Universal."
ira,irritación,molestia,sí,"Parece que estás irritado. ¿Quieres contar qué te incomoda? Estoy aquí para escuchar.","Universal."
ira,frustración,impotencia,sí,"Entiendo que te sientes frustrado. A veces es difícil cuando las cosas no salen. ¿Quieres que te apoye en algo?","Universal."
ira,encabronado,furioso,no,"¡Híjole! Parece que estás encabronado. Es válido sentir esa furia. ¿Quieres desahogarte?","Coloquial y fuerte en México para ""muy enojado""."
ira,sacado de onda,desconcertado,no,"Uy, me imagino que te sacó de onda lo que pasó. ¿Quieres platicar más?","Modismo mexicano para estar sorprendido/molesto negativamente."
ira,estar de malas,irritado,no,"Hoy amaneciste de malas, ¿verdad? A veces pasa. ¿Qué te ayudaría a sentirte mejor?","Modismo mexicano para estar de mal humor."
ira,me hierve la sangre,rabia,no,"Uf, parece que te hierve la sangre. Es una emoción fuerte. ¿Quieres hablar de qué la provocó?","Expresión común para un enojo intenso."
dolor,malestar,sufrimiento,sí,"Lamento que estés pasando por dolor. ¿Quieres hablar sobre lo que te causa eso, o prefieres distraerte un poco?","Universal."
dolor,angustia,aflicción,sí,"Veo que sientes angustia. Estoy aquí para ti, ¿quieres compartir qué te preocupa?","Universal."
dolor,pena,sentimiento triste,sí,"Siento que te sientes con pena. ¿Quieres contarme qué te está afectando?","Universal, pero ""pena"" puede ser también vergüenza en México. Asegúrate de contexto."
dolor,desconsuelo,aflicción,sí,"Estoy aquí para ti. ¿Quieres hablar de lo que te causa tristeza y desconsuelo?","Universal."
dolor,sufrimiento,tormento,sí,"Noto que estás sufriendo. Es normal. ¿Hay algo en lo que pueda apoyarte?","Universal."
