Entidad,Termino
miedo,temor
alegria,felicidad
vergüenza,pena ajena
vergüenza,bochorno
culpa,cargo de conciencia
culpa,remordimiento
asco,qué oso
alegria,entusiasmo
asco,me da cosa
asco,repulsión
alegria,estar de buenas
alegria,qué padre
alegria,a toda madre
alegria,chido
alegria,optimismo
asco,náusea
alegria,diversión
alegria,satisfacción
tristeza,melancolía
amor,pasión
amor,afecto
orgullo,vanidad
orgullo,satisfacción personal
vergüenza,humillación
culpa,culpabilidad
alegria,alivio
enojo,molestia
enojo,frustración
enojo,ira
tristeza,desconsuelo
tristeza,soledad
asco,desagrado
alegria,emoción
vergüenza,pena
ira,sacado de onda
ira,encabronado
ira,irritación
ira,furia
ira,resentimiento
ira,estar de malas
ira,enojo
miedo,paniqueado
miedo,con el Jesús en la boca
miedo,susto
miedo,pánico
miedo,ansiedad
miedo,escalofrío
ira,me hierve la sangre
miedo,preocupación
dolor,angustia
dolor,malestar
tristeza,Aguitado
tristeza,ando con la pila baja
tristeza,me siento agüitado
tristeza,bajoneado
tristeza,nostalgia
tristeza,aflicción
tristeza,Agüitado
tristeza,desesperanza
tristeza,sad
dolor,agüite
tristeza,depresión
dolor,sufrimiento
tristeza,corte
tristeza,cruel
tristeza,crueldad
tristeza,desmoronándose
tristeza,aplastada
tristeza,llorar
tristeza,llorando
tristeza,incómodo
tristeza,maldición
tristeza,maldito
tristeza,quiste
tristeza,crucifixión
tristeza,cripta
tristeza,utilización de tazas
tristeza,cremación
tristeza,criticar
tristeza,crítica
tristeza,lisiado
tristeza,morir de vergüenza
tristeza,loca
tristeza,choque
tristeza,cobarde
tristeza,sofá
tristeza,corso
tristeza,corrompiendo
tristeza,citomegalovirus
tristeza,cadáver
tristeza,cruz
tristeza,demonio
tristeza,engaño
tristeza,daños y perjuicios
tristeza,condenar
tristeza,desafiar
tristeza,difunto
tristeza,deformidad
tristeza,deformado
tristeza,desinflar
tristeza,indefenso
tristeza,acusado
tristeza,derrotado
tristeza,defecto
tristeza,descomposición
tristeza,descompuesto
tristeza,engañar
tristeza,daño
tristeza,engañoso
tristeza,decaido
tristeza,decadencia
tristeza,deuda
tristeza,debacle
tristeza,muerte
tristeza,mortal
tristeza,punteado
tristeza,oscuridad
tristeza,oscurecido
tristeza,oscurecer
tristeza,oscuro
tristeza,peligro
tristeza,condenación
tristeza,fallecido
tristeza,contaminado
tristeza,caos
tristeza,consola
tristeza,degeneración
tristeza,disgusto
tristeza,cementerio
tristeza,catástrofe
tristeza,catarata
tristeza,víctima
tristeza,ataúd
tristeza,caso
tristeza,carnicería
tristeza,miocardiopatía
tristeza,carcinoma
tristeza,cuerpo
tristeza,cautiverio
tristeza,cobrable
tristeza,cautivo
tristeza,cancelar
tristeza,calamidad
tristeza,jaula
tristeza,enterrar
tristeza,Burke
tristeza,enterrado
tristeza,entierro
tristeza,gravoso
tristeza,culo
tristeza,pesadilla
tristeza,bruto
tristeza,roto
tristeza,cáncer
tristeza,restricción
tristeza,ahogo
tristeza,crónico
tristeza,consagración
tristeza,conflicto
tristeza,confiscar
tristeza,confinamiento
tristeza,confinado
tristeza,confinar
tristeza,confesión
tristeza,condolencia
tristeza,condescendencia
tristeza,concusión
tristeza,preocupado
tristeza,encubrir
tristeza,cólera
tristeza,quejarse
tristeza,compromiso
tristeza,conmemorar
tristeza,comatoso
tristeza,coma
tristeza,colusión
tristeza,colapsar
tristeza,frialdad
tristeza,coerción
tristeza,cocaína
tristeza,nuboso
tristeza,nublado
tristeza,cierre
tristeza,comunismo
tristeza,degradante
tristeza,delirante
tristeza,descorazonador
tristeza,desanimado
tristeza,asco
tristeza,descontento
tristeza,deshonrado
