Emocion,Termino_emocional,Lista_sinonimos,Negacion_Considerar,Respuesta,Notas_Culturales,Intensidad,
ira,abandonado,,sí,,NRC EmoLex,media,
ira,abandono,,sí,,NRC EmoLex,media,
ira,aborrecer,,sí,,NRC EmoLex,media,
ira,aborrecible,,sí,,NRC EmoLex,media,
ira,abolir,,sí,,NRC EmoLex,media,
ira,abominación,,sí,,NRC EmoLex,media,
ira,abuso,,sí,,NRC EmoLex,media,
ira,maldito,,sí,,NRC EmoLex,media,
ira,acusación,,sí,,NRC EmoLex,media,
ira,acusado,,sí,,NRC EmoLex,media,
ira,acusador,,sí,,NRC EmoLex,media,
ira,acusando,,sí,,NRC EmoLex,media,
ira,procesable,,sí,,NRC EmoLex,media,
ira,sumador,,sí,,NRC EmoLex,media,
ira,adversario,,sí,,NRC EmoLex,media,
ira,adverso,,sí,,NRC EmoLex,media,
ira,adversidad,,sí,,NRC EmoLex,media,
ira,Abogacía,,sí,,NRC EmoLex,media,
ira,afrenta,,sí,,NRC EmoLex,media,
ira,secuelas,,sí,,NRC EmoLex,media,
ira,agravado,,sí,,NRC EmoLex,media,
ira,agravante,,sí,,NRC EmoLex,media,
ira,agravación,,sí,,NRC EmoLex,media,
ira,agresión,,sí,,NRC EmoLex,media,
ira,agresivo,,sí,,NRC EmoLex,media,
ira,agresor,,sí,,NRC EmoLex,media,
ira,agitado,,sí,,NRC EmoLex,media,
ira,agitación,,sí,,NRC EmoLex,media,
ira,agonía,,sí,,NRC EmoLex,media,
ira,alcoholismo,,sí,,NRC EmoLex,media,
ira,enajenar,,sí,,NRC EmoLex,media,
ira,alienación,,sí,,NRC EmoLex,media,
ira,alegación,,sí,,NRC EmoLex,media,
ira,altercado,,sí,,NRC EmoLex,media,
ira,emboscada,,sí,,NRC EmoLex,media,
ira,anarquismo,,sí,,NRC EmoLex,media,
ira,anarquista,,sí,,NRC EmoLex,media,
ira,anarquía,,sí,,NRC EmoLex,media,
ira,anatema,,sí,,NRC EmoLex,media,
ira,enfado,,sí,,NRC EmoLex,media,
ira,enfadado,,sí,,NRC EmoLex,media,
ira,angustia,,sí,,NRC EmoLex,media,
ira,animosidad,,sí,,NRC EmoLex,media,
ira,ánimo,,sí,,NRC EmoLex,media,
ira,aniquilar,,sí,,NRC EmoLex,media,
ira,aniquilado,,sí,,NRC EmoLex,media,
ira,aniquilación,,sí,,NRC EmoLex,media,
ira,enojarse,,sí,,NRC EmoLex,media,
ira,molestia,,sí,,NRC EmoLex,media,
ira,irritante,,sí,,NRC EmoLex,media,
ira,antagonismo,,sí,,NRC EmoLex,media,
ira,antagonista,,sí,,NRC EmoLex,media,
ira,antagonista,,sí,,NRC EmoLex,media,
ira,antecristo,,sí,,NRC EmoLex,media,
ira,antipatía,,sí,,NRC EmoLex,media,
ira,antisocial,,sí,,NRC EmoLex,media,
ira,antítesis,,sí,,NRC EmoLex,media,
ira,ansiedad,,sí,,NRC EmoLex,media,
ira,discutir,,sí,,NRC EmoLex,media,
ira,argumento,,sí,,NRC EmoLex,media,
ira,argumentación,,sí,,NRC EmoLex,media,
ira,argumentos,,sí,,NRC EmoLex,media,
ira,armamento,,sí,,NRC EmoLex,media,
ira,armado,,sí,,NRC EmoLex,media,
ira,acusación,,sí,,NRC EmoLex,media,
ira,arrogante,,sí,,NRC EmoLex,media,
ira,incendio provocado,,sí,,NRC EmoLex,media,
ira,atacar,,sí,,NRC EmoLex,media,
ira,agresor,,sí,,NRC EmoLex,media,
ira,asesino,,sí,,NRC EmoLex,media,
ira,asesinar,,sí,,NRC EmoLex,media,
ira,asesinato,,sí,,NRC EmoLex,media,
ira,agresión,,sí,,NRC EmoLex,media,
ira,Estúpido,,sí,,NRC EmoLex,media,
ira,atroz,,sí,,NRC EmoLex,media,
